run_id,event,process,direction,config,message,backend,transport,payload_bytes,target_frequency_hz,step_index,phase,sequence,observed_utc,observed_mono_ns,send_mono_ns,receive_mono_ns,middleware_source_ns,middleware_received_ns,status,error
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,0,2026-09-09T14:34:49.088707Z,157682750510034,157682750510034,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,1,2026-09-09T14:34:49.188986Z,157682851077952,157682851077952,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,2,2026-09-09T14:34:49.289265Z,157682951356383,157682951356383,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,3,2026-09-09T14:34:49.389781Z,157683051865009,157683051865009,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,4,2026-09-09T14:34:49.489052Z,157683151136085,157683151136085,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,5,2026-09-09T14:34:49.589889Z,157683251944147,157683251944147,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,6,2026-09-09T14:34:49.689059Z,157683351133120,157683351133120,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,7,2026-09-09T14:34:49.789214Z,157683451279031,157683451279031,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,8,2026-09-09T14:34:49.888997Z,157683551030205,157683551030205,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,9,2026-09-09T14:34:49.988491Z,157683650573407,157683650573407,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,10,2026-09-09T14:34:50.088302Z,157683750356763,157683750356763,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,11,2026-09-09T14:34:50.187318Z,157683849379864,157683849379864,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,12,2026-09-09T14:34:50.287355Z,157683949429915,157683949429915,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,13,2026-09-09T14:34:50.387729Z,157684049797505,157684049797505,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,14,2026-09-09T14:34:50.487994Z,157684150072081,157684150072081,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,15,2026-09-09T14:34:50.588665Z,157684250725221,157684250725221,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,16,2026-09-09T14:34:50.689551Z,157684351617683,157684351617683,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,17,2026-09-09T14:34:50.790105Z,157684452124827,157684452124827,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,18,2026-09-09T14:34:50.889999Z,157684552021758,157684552021758,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,19,2026-09-09T14:34:50.989068Z,157684651112818,157684651112818,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,20,2026-09-09T14:34:51.088181Z,157684750242942,157684750242942,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,21,2026-09-09T14:34:51.188755Z,157684850744596,157684850744596,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,22,2026-09-09T14:34:51.287945Z,157684950033321,157684950033321,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,23,2026-09-09T14:34:51.387873Z,157685049888446,157685049888446,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,24,2026-09-09T14:34:51.487013Z,157685149091548,157685149091548,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,25,2026-09-09T14:34:51.586327Z,157685248378799,157685248378799,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,26,2026-09-09T14:34:51.685516Z,157685347569938,157685347569938,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,27,2026-09-09T14:34:51.785557Z,157685447626884,157685447626884,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,28,2026-09-09T14:34:51.885504Z,157685547523706,157685547523706,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,29,2026-09-09T14:34:51.986026Z,157685648067852,157685648067852,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,30,2026-09-09T14:34:52.085269Z,157685747315910,157685747315910,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,31,2026-09-09T14:34:52.185713Z,157685847800676,157685847800676,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,32,2026-09-09T14:34:52.285352Z,157685947449032,157685947449032,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,33,2026-09-09T14:34:52.385867Z,157686047950488,157686047950488,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,34,2026-09-09T14:34:52.486463Z,157686148558656,157686148558656,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,35,2026-09-09T14:34:52.585579Z,157686247647032,157686247647032,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,36,2026-09-09T14:34:52.686403Z,157686348498579,157686348498579,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,37,2026-09-09T14:34:52.787010Z,157686448990298,157686448990298,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,38,2026-09-09T14:34:52.886776Z,157686548818624,157686548818624,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,39,2026-09-09T14:34:52.986416Z,157686648417545,157686648417545,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,40,2026-09-09T14:34:53.085383Z,157686747454155,157686747454155,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,41,2026-09-09T14:34:53.185767Z,157686847851115,157686847851115,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,42,2026-09-09T14:34:53.285681Z,157686947771465,157686947771465,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,43,2026-09-09T14:34:53.385754Z,157687047844854,157687047844854,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,44,2026-09-09T14:34:53.485731Z,157687147821771,157687147821771,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,45,2026-09-09T14:34:53.585193Z,157687247247026,157687247247026,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,46,2026-09-09T14:34:53.685371Z,157687347458466,157687347458466,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,47,2026-09-09T14:34:53.785399Z,157687447450330,157687447450330,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,48,2026-09-09T14:34:53.885198Z,157687547217742,157687547217742,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,49,2026-09-09T14:34:53.985519Z,157687647551804,157687647551804,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,50,2026-09-09T14:34:54.085310Z,157687747381042,157687747381042,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,51,2026-09-09T14:34:54.185176Z,157687847251289,157687847251289,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,52,2026-09-09T14:34:54.284387Z,157687946438526,157687946438526,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,53,2026-09-09T14:34:54.383560Z,157688045587640,157688045587640,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,54,2026-09-09T14:34:54.484164Z,157688146227531,157688146227531,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,55,2026-09-09T14:34:54.584136Z,157688246182600,157688246182600,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,56,2026-09-09T14:34:54.683991Z,157688346067625,157688346067625,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,57,2026-09-09T14:34:54.785074Z,157688447065079,157688447065079,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,58,2026-09-09T14:34:54.885243Z,157688547254480,157688547254480,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,59,2026-09-09T14:34:54.985456Z,157688647486921,157688647486921,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,60,2026-09-09T14:34:55.085546Z,157688747638670,157688747638670,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,61,2026-09-09T14:34:55.186285Z,157688848359857,157688848359857,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,62,2026-09-09T14:34:55.286235Z,157688948311458,157688948311458,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,63,2026-09-09T14:34:55.386904Z,157689048959406,157689048959406,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,64,2026-09-09T14:34:55.486870Z,157689148940233,157689148940233,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,65,2026-09-09T14:34:55.586829Z,157689248838415,157689248838415,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,66,2026-09-09T14:34:55.686346Z,157689348451606,157689348451606,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,67,2026-09-09T14:34:55.785965Z,157689448048940,157689448048940,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,68,2026-09-09T14:34:55.886047Z,157689548097515,157689548097515,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,69,2026-09-09T14:34:55.985797Z,157689647830483,157689647830483,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,70,2026-09-09T14:34:56.086239Z,157689748350090,157689748350090,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,71,2026-09-09T14:34:56.185898Z,157689847962262,157689847962262,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,72,2026-09-09T14:34:56.286229Z,157689948329952,157689948329952,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,73,2026-09-09T14:34:56.386725Z,157690048790125,157690048790125,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,74,2026-09-09T14:34:56.487002Z,157690149090347,157690149090347,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,75,2026-09-09T14:34:56.587676Z,157690249726854,157690249726854,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,76,2026-09-09T14:34:56.688233Z,157690350301764,157690350301764,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,77,2026-09-09T14:34:56.788616Z,157690450606365,157690450606365,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,78,2026-09-09T14:34:56.889164Z,157690551191315,157690551191315,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,79,2026-09-09T14:34:56.988971Z,157690650997624,157690650997624,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,80,2026-09-09T14:34:57.089816Z,157690751866361,157690751866361,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,81,2026-09-09T14:34:57.189529Z,157690851566570,157690851566570,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,82,2026-09-09T14:34:57.289103Z,157690951161742,157690951161742,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,83,2026-09-09T14:34:57.389575Z,157691051640673,157691051640673,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,84,2026-09-09T14:34:57.489752Z,157691151826500,157691151826500,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,85,2026-09-09T14:34:57.589542Z,157691251540025,157691251540025,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,86,2026-09-09T14:34:57.688720Z,157691350808389,157691350808389,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,87,2026-09-09T14:34:57.788995Z,157691451065561,157691451065561,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,88,2026-09-09T14:34:57.889215Z,157691551246068,157691551246068,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,89,2026-09-09T14:34:57.989220Z,157691651287132,157691651287132,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,90,2026-09-09T14:34:58.089441Z,157691751515461,157691751515461,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,91,2026-09-09T14:34:58.188533Z,157691850629013,157691850629013,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,92,2026-09-09T14:34:58.288403Z,157691950370893,157691950370893,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,93,2026-09-09T14:34:58.388796Z,157692050836320,157692050836320,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,94,2026-09-09T14:34:58.488940Z,157692151022439,157692151022439,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,95,2026-09-09T14:34:58.588783Z,157692250853227,157692250853227,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,96,2026-09-09T14:34:58.689624Z,157692351713159,157692351713159,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,97,2026-09-09T14:34:58.790142Z,157692452196660,157692452196660,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,98,2026-09-09T14:34:58.889597Z,157692551658972,157692551658972,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,99,2026-09-09T14:34:58.989699Z,157692651720847,157692651720847,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,100,2026-09-09T14:34:59.088929Z,157692750965147,157692750965147,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,101,2026-09-09T14:34:59.189461Z,157692851537558,157692851537558,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,102,2026-09-09T14:34:59.288911Z,157692951006444,157692951006444,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,103,2026-09-09T14:34:59.388117Z,157693050194540,157693050194540,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,104,2026-09-09T14:34:59.488889Z,157693150973730,157693150973730,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,105,2026-09-09T14:34:59.588878Z,157693250916762,157693250916762,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,106,2026-09-09T14:34:59.688046Z,157693350141797,157693350141797,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,107,2026-09-09T14:34:59.788418Z,157693450525640,157693450525640,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,108,2026-09-09T14:34:59.887761Z,157693549787695,157693549787695,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,109,2026-09-09T14:34:59.988173Z,157693650226474,157693650226474,-1,-1,-1,ok,
std_copy_xcdr__cpp_to_py__100000B__10Hz__shmem_ds__best_effort,publish,pub,cpp_to_py,copy,std,xcdr,shmem_ds,100000,10,0,measured,110,2026-09-09T14:35:00.088377Z,157693750432003,157693750432003,-1,-1,-1,ok,
